Title,Tags,Text
Copperhead Merkins,,"Copperhead Merkins Regular Merkin, each rep done in 3 stages, much like the copperhead squat. Excellent in high reps to feel the burn on the deltoids and rhomboids. Can be modified ad infinitum (eg copperhead derkin, copperhead drydock, etc.)"
Copperhead Squat,,"Copperhead Squat Regular squat but lowering body slowly on first 3 counts, then lifting up on 4 count. Good form is keeping hands on back of heads with elbows held back, weight on heels, and back kept straight."
Cotton-eyed Joe,Music|Routine,"Cotton-eyed Joe The Q plays ""Cotton Eye Joe"" by Rednex. Start with Side Straddle Hops (SSH) to the music when the singing begins. When the banjo solo starts, squat low, then raise and kick your leg to the left, squat low again, and kick your leg to the right. Alternate legs. When the music changes and the woman sings, switch to merkins. Switch back to Side Straddle Hops when the man sings again. Rinse and repeat: Man singing: SSH / Banjo solo: CEJ / Woman singing: Merkins"
Coyote Uglys,,"Coyote Uglys Find a picnic table and partner up. Starting in a wheel barrow position with partner, PAX will start on the ground and step up to picnic table 'seat' with their hands , complete 1 Merkin, step up to top of the 'table' , 1 Merkin, step down to the 'seat', 1 Merkin, step down to the ground, 1 Merkin. That completes 1 rep. Goal is 5 reps, then switch with Partner."
CPRs,,"CPRs Combination of 3 Arm exercises with Cinderblocks. Starting position like doing curls and done all together in a 4-Count cadence: 1 = ""C""url, 2 = Overhead ""P""ress, 3 = Tricep ""R""aise (i.e. extension), 4 = Return to starting position."
Crab Cakes,,"Crab Cakes Start from crab walk position, raise right hand and left leg, touch hand to knee. Return to starting position and repeat with opposite hand/leg. In cadence."
Crab Humper,,"Crab Humper Like air humpers but in the crab walk position (hands and feet on ground, keeping 6 off ground, thrust hips up and down)."
Crab Jacks,,"Crab Jacks Just like plank jacks, but facing the sky. Get into crab walk position, knees bent at 90 degrees and hips towards the sky. Move thighs apart and back together. Decline CJ are when feet are uphill."
Crab vs. Bear Soccer,,"Crab vs. Bear Soccer Preferably played on a soccer field with goals, divide into teams, one team has to crab walk while the other has to bear crawl. Once someone scores a goal, then the teams swap roles (bear to crab and crab to bear). Goalies have to plank, and goalies must be swapped out after every goal scored. Play for as long as you want, real men play for at least 20 minutes."
Crab Walk,,Crab Walk (Aka Jameis Winston in some parts.) Balancing on your hands and feet with your front facing the ceiling and your hips thrust upwards. Walk like a crab.
Cracker Jacks,Legs|Cardio,"Cracker Jacks Starting in ATG-Frog Squat position, w/ both arms extended straight down b/w legs + hands planted on ground. Perform a Star Jump & return to 1st position."
Crawl Bear,,"Crawl Bear Same as Bear Crawl, except backwards. Totally different exercise. Often combined with Bear Crawl, as in, ""Bear Crawl up and Crawl Bear back."""
Crawl Bear 360,,Crawl Bear 360 Perform Crawl Bear while rotating 360 degrees the entire time. Can be performed clockwise or counter-clockwise.
Creapees,Legs|Arms|Cardio,"Creapees This is a normal burpee with a creature merkin variant at the bottom. This version of the creature merkin is where the creature is climbing out of the black lagoon, so it is performed in front of a bench and transitions from a regular merkin to an inclined merkin (F3Orlando Flowerchild favorite)."
Creature Merkins,,"Creature Merkins Start in an incline merkin position with feet together on the ground hand up on seat/bench. Using feet as a pivot and keeping your body straight, move your body with your hands to the right then down to the ground to perform a merkin. Then, using hands, bring yourself back up on the seat/bench and over to the left side to perform a merkin. Q's call on how many merkins to perform on each side."
Crowd Pleaser,,"Crowd Pleaser Essentially a Merkin followed by a Groiner, but done as a pyramid. For regular men, going from 1:1 (1 Merkin and 1 Groiner) to 4:4 (4 Merkins followed by 4 Groiners) and back down to 1:1 may be a challenge, but average F3 men should go from 1:1 up to 5:5 and back down to 1:1 to truly enjoy the moment (at total of 25 reps of each). Working up to a 6:6 pyramid is an admirable goal for the Sugar Rays in the PAX... going any higher is not advised unless you have good disability insurance."
Crucible Merkin,,Crucible Merkin Start in a wide merkin stance with hands much further out than shoulder-width. Rotate hands 90 degrees outward until they are facing away from the body. Perform a merkin.
Crunchy Frog,,"Crunchy Frog Done in cadence, in a V-like sitting position, first wrap your legs with your arms. Quickly open yourself up by moving your arms out to your sides and extending your legs out in front of you. Bring them back in. Repeato. Video here."
Cumberland County Viaduct (CCV),,Cumberland County Viaduct (CCV) Basically - these are side raises. Lay on side with weight on elbow. In cadence - 1) raise hip up as high as you can. 2) back down but don't let other hip touch ground 3) raise up again 4) back down.
Cupid Shuffle,Music|Routine,"Cupid Shuffle The Q plays ""Cupid Shuffle."" Follow the commands from the plank position: Right = right, Left = left, Kick = kick, Walk = Mt. Climber, Down = merkin. EXTRA: Do mountain climbers when not performing the specified movements."
Curb Alpert,,"Curb Alpert Pax in push up position alongside curb, and walk hands up and down the the curb as if they are drumming like the legendary Herb Alpert."
Cusack,,"Cusack Exercises completed while holding/carrying a CMU or block overhead, usually in conjuction with running or walking. A la John Cusack's character in the popular 1980s movie ""Say Anything."" Also allows for really poor versions of ""In Your Eyes"" by Peter Gabriel to be introduced as #mumblechatter."
Cut A Flip,,"Cut A Flip Alternating between 5 Merkins and 5 Big Boy Sit-ups, flipping between the 2 exercises over and over, no rest. Can be performed until a specific number is reached, ex. 100 Merkins and 100 Big Boys; or can be used in an AMRAP scenario that is timed such as 1 Minute or waiting for partner to complete a movement."
Daft Punk,,"Daft Punk Lunge exercise performed in cadence with a cadence count that you cycle through three times (12 count move). Also sometimes know as the ""around the world lunge"" hence the F3 Moniker after Daft Punk's classic ""Around the World."" Right leg lunge forward (step back to center after each) / Right leg lunge sideways / Right leg lunge back / Left leg lunge back / Left leg lunge sideways / Left leg lunge forward. This completes one full Daft Punk."
Dan Taylor,,"Dan Taylor Punishing leg exercise that is a cousin (of sorts) to Jack Webb. Named after Lt. Dan in Forrest Gump, it combines 1 squat followed by 4 lunges (alternating legs) in ascending order (maintaining the 1:4 ratio). It will leave the PAX feeling like ""they ain't got no legs""."
Dancing Bear Pyramid,,Dancing Bear Pyramid PAX perform 1 Merkin and then recover to perform 1 Dancing Bear (Andean Bear from Nashville Zoo on newsï¿½basically a jump squat and OHP). R&R going up until 10 & 10. Then back down the other side of the pyramid back to 1 each. Great way to get in 101 Merkins and OHP Jump Squats in ~6 minutes as invented at F3Nolensville
Dancing Bears,,"Dancing Bears Hands and feet on the ground, lift left leg and right arm to an uncomfortable height, then back on ground. Lift right leg and left arm to an uncomfortable height, return to the ground. Works great with a 4 count."
Dancing Chilcutt,,"Dancing Chilcutt Elbow Plank w/alternating leg lifts in cadence. Great for the back, not so much for the elbows."
Danger Zone,Music|Full Body,"Danger Zone The Q plays ""Danger Zone"" by Kenny Loggins. The PAX continually performs side straddle hops (SSH). Every time the words ""danger zone"" are heard, the PAX does a single squat before resuming SSH. Alternatively, you can do burpees for each ""danger zone"" phrase. The end result is approximately 3.5 minutes of SSH with intermittent squats."
Daniel-Son,,"Daniel-Son Karate Kid crane kick position. Alternate legs in quick succession. ""If do right, none can defend."""
Dark Webbs,,"Dark Webbs A series of Webb routines. A Jack Webb starts with 1 Merkin and 2 Raise the Roofs, then the Merkins increase one at a time while the Raise the Roofs increase in that 1 to 2 ratio, so that you end with 10 Merkins and 20 Raise the Roofs. The Dark Webb consists of all the following, done without rest:<br /> Jack Webb - 1 Merkin to 2 Raise the Roofs<br /> House of Paine - 1 Jump Squat with 2 Iron Mikes / Bonnie Blairs / Jump Lunges (one per leg)<br /> Captain Thor - 1 Big Boy with 2 American Hammers (4 count, if you want the PAX to stop complaining)<br /> Happy Jack Webb - A bad marriage between a Happy Jack and a Jack Webb - 1 Burpee with 2 Side Straddle Hops (at this point 4 count is unnecessary)<br /> This one is fairly brutal, so don't plan on getting much out of the PAX after it. Invented by Preach from Birmingham."
DaVinci Cartwheel,,"DaVinci Cartwheel Begin in a low squat. Reach across with both hands, placing your left hand next to your right foot and your right hand a bit further off. Push off with your feet, lift your hips over your shoulders into a mini tucked handstand, then (as gracefully as possible) put your feet back down past your right hand (left foot next to right hand), facing the same direction as you started. Rinse and repeat. Sometimes called a ""monkey crawl"" or ""monkey scoot."" Can be done in both directions."
Death Star,,Death Star Set 10 cones out in shape of star. Bear crawl to each cone and perform 30 merkins at each. Adds up to total of 300. Good times.
Deck of Death,,Deck of Death A routine done with a deck of playing cards where each suit is an exercise and each card dictates the number of reps you do of that exercise all the way up to an Ace being 14 reps. Exercise complete when all 52 cards have been flipped.
Deconstructed Burpees,,"Deconstructed Burpees The perfect exercise, broken down into pieces. Squats, then leg thrusts, then Merkins, then leg thrusts, then up. For example, do 10 squats, 10 leg thrusts, 10 Merkins, 10 leg thrusts, then up. Decrease reps by 1 each time until you get to 1 each."
Deep Sea Diver,,"Deep Sea Diver Hip Slapper variation. Best used on steps. 1. Start with feet on 1st step. Perform x amount of Hip Slappers. 2. Move feet up 1 step. Perform x amount of Hip Slappers. Continue with this pattern, reaching desired pinnacle. (5 or more steps = F3). 3. Then move feet down 1 step. Perform x amount of Hip Slappers. Repeat pattern until reaching 1st step. Looks like a deep sea diver swimming down down down."
Del Brown,,Del Brown Named after saltwater fly fisherman who developed spectacular Merkin Crab fly. 10 Merkins then 25 yard Crab Walk then 10 Diamond Merkins then 25 yard Crab Walk then 10 Merkins. Repeato.
Derkin,,Derkin Decline merkin. Legs raised or elevated so that the push-up accents the arms.
Derkin N'Diayes,,"Derkin N'Diayes The other end of the rainbow of the Makhtar Nï¿½Diayes movements: From Derkin position (feet up), a 5-count exercise in which you put each foot to the ground and back into regular Derkin position, and then complete a Derkin. Increase the incline to really burn your core."
Derricks,Legs,"Derricks Single leg dead lift, slow 4-ct in cadence. Good warm up/balance move. Movement resembles oil derricks."
Devin Hester,,"Devin Hester Two PAX of similar speed, one with a rock or other coupon and a small headstart, race 100 yds. 2nd Pax attempts to run down the 1st. Created by Glass Joe in Union County."
Diamond David Lee Roth Burpee,,"Diamond David Lee Roth Burpee Burpee with a Diamond Merkin. Instead of just ""Jump""ing, do a David Lee Roth scissor kick at the end."
Diego,,"Diego Diego (Dora the explorer's cousin) - Similar to Dora 1, 2, 3 but just tougher... Same partner situation but the exercises are as follows:<br /> 100 - 'Merkins<br /> 150 - Overhead press w/ block<br /> 200 - LBC<br /> 250 - Block Curls<br /> 300 - Squats w/ Block"
Dips,,"Dips Done on elevated surface such as benches, low walls, or even curbs. Whille in facing upward with hands on surface and legs laying on heels, lower body to work back of arms, shoulders and core."
Dirty Harry,,"Dirty Harry Crab walk forwards or backwards. Every time a step is taken, stepping leg is extended parallel to ground before being placed back on ground. Best if done over a long distance."
Dirty Hookup,,"Dirty Hookup Performed as 4 count exercise. Pax plank up, facing a wall with eyes on wall. ""1"" Right hand raised to press against the wall, ""2"" Left hand raised to the wall (now in horizontal plank), ""3"" Right hand down to ground, ""4"" Left hand down (back to plank position)"
Dirty Man Maker,,"Dirty Man Maker With a ruck, perform a man maker. Burpee with squat thruster. Except at bottom, 3 hand release merkins, at the top, 3 squat thrusters. Do not warn PAX you plan to do these, as they may incite a mutiny."
DirtyMacDeuce,,"DirtyMacDeuce 4 sets of 3 exercises done to 12 4-count reps. Each set has one chest exercise, one leg exercise and one core exercise. After each set of three exercises, you run a lap of a track or whatever else is handy (parking lot, etc.)"
Dive Bombers,,Dive Bombers Dive Bomber is a Merkin with your hands ahead of your shoulders after you move to down position pull with your arms to move your hands behind your shoulders then push up.
DMC,,"DMC Best on a football field but can be done with any designated points or posts. From the goal line Duck walk to the 10 yard line, 5 merkins, reverse bearcrawl back to goal line. Repeat to the 20, 30, 40 and 50 yardlines increasing # of merkins by 5. Duckwalk-Merkin-Reverse Bearcrawl."
Do-ah-diddy,,"Do-ah-diddy Forming a single file formation in Indian run fashion, the PAX begins in a forward mosey pace. The Front Man Peels off performing a set amount of pre-determined movement (Squat, Merkin, Burpee, ect.) and Holds Plank until entirety of PAX has passed him, At which point he falls in rank taking the 6 position and announces LOUD & PROUD ""6"". Front man on hearing the ""6"" call then continues the cycle until the Q is satisfied with the distance covered. Q can increase the ""6"" call from the beginning to shorten the periods between front men dropping. Be sure to not leave anyone behind and always pick up your 6!"
Doc Ock's Octogon of Pain,,"Doc Ock's Octogon of Pain Routine - The PAX partner up & start at different stations. Area is setup with cones in an Octagon - 8 Stations - one for each of the Doc Ock's 2.0s - Each stations exercise begins with the repective 2.0's first letter of their name. PAX will perform 8 of each exercise, bear crawling from cone to cone after each exercise, after each completion around the Octagon the PAX jog to the middle, to pay respect to my better half and perform Motivator from 4. <br /> <br /> Station 1 - 2.0 - Decline Merkins; <br /> Station 2 - 2.1 - Jump Squats; <br /> Station 3 - 2.2 - Burpee; <br /> Station 4 - 2.3 - American Hammers; <br /> Station 5 - 2.4 - Outlaws; <br /> Station 6 - 2.5 - Lt. Dans; <br /> Station 7 - 2.6 - The Lion King; <br /> Station 8 - 2.7 - Jumping Spiders. <br /> <br /> Rinse and repeat adding 8 to each exercise each trip around the Octagon of Pain 8, 16, 24, 32... (Motivators continue from 4 each trip to the middle)."
Dodo bird,,"Dodo bird With two bricks assume the People's Chair, brick in each hand and at rest down your sides is the default position. In cadence or OYO, (1) side shoulder raise [arms straight and lifted to the sides to shoulder height], (2) back to default, (3) front shoulder raise [arms straight and lifted in front of you to shoulder height], (4) back to default. After doing these you'll find out why the Dodo is extinct. First, never flap your wings in front of you. Second, never try to fly while holding bricks. This can be combined with the Wonder Bra to perform the Wonder Dodo. Follow 1, 2, 3 above, then (4) bring arms in to the chest, (5) shoulder press above your head, (6) bring arms back to the chest, (7) front shoulder raise, (8) back to default described above."
Dog,,"Dog Hands and knees, as in ""pick up the #Dog"". Yeah, it probably comes from Yoga."
Doggie Paddle,,"Doggie Paddle Starting position - In Dog (hands and knees). Extend opposite arm and leg at same time. In cadence, 1 - left arm and right leg extend, 2 - return to Dog, 3 - extend right arm left leg, 4 - return to Dog = 1 complete exercise. Good exercise for strengthening lower back and even the buttocks. For those who need more challenging and need to work on balance, extend arm and leg on same side (quickly reminded of your weak side)."
Dolly,,"Dolly Ab exercise done laying on back, legs raised about six inches from ground. Keeping legs parallel to ground, separate legs outward then return to start."
Dominoes,,"Dominoes Preferably performed in a parking lot with a row of curbs (can also be done on ground). Line up 1 or 2 PAX per curb down the parking lot, entire PAX side planks on curb with left hand high, starting at one end, first PAX rotates to regular plank position for set number of Merkins, first PAX then holds regular plank and next PAX rotates down for Merkins, and so on down the line. Once the entire PAX is in regular plank position, the entire PAX reverses and starts again with right hand high. Repeato as desired. When done properly the PAX should resemble dominoes slowly toppling over. Best for a larger PAX."
Don Quixotes,,Don Quixotes Aka Windmill.
Donkey Kick-offs,,"Donkey Kick-offs Before the initial circle of pain, find the nearest wall and do 5 donkey kicks. On the 5th donkey kick hold feet to the wall for 5 seconds. Then up the number to 10 donkey kicks and 10 second hold. Continue adding by 5's until the PAX is dead donkey tired. Great way to start off a workout!"
Donkey Kicks,,"Donkey Kicks While planking near a wall with your feet facing the wall, kick both feet up on wall above your body."
Dora 1-2-3,,"Dora 1-2-3 Teams of 2 pax working together to reach cumulative exercise goals of 100, 200, and 300 reps. Pax 1 executes as many reps as possible while Pax 2 sprints 100 yards down and back. Flapjack until team goal is reached. Exercises are a top-to-bottom of body progression, i,e, 100 merkins per team (chest), 200 LBCs per team (core), 300 squats per team (legs). Modified Dora 1-2-3 is 50, 100, and 150 reps."
Doracides,,"Doracides Dora's twin sister and she is a lil' cray cray. Use the same concept as the regular Dora, 2 PAX work together to reach cumulative exercise goals of 100, 200, 300, and 400 reps. The difference comes in the sprint, instead of running 100 yards you will do suicides instead. 1 PAX member will execute as many reps as possible while PAX 2 sprints to cone 1 (or use a pole, tree, etc. for your point of turnaround), 1 burpee, sprint back to partner, touch, sprint to cone 2, 2 burpees, sprint back to partner, touch, sprint to cone 3, 3 burpees, sprint back, switch with partner. PAX member picks up where PAX member doing the exercises left off."
Double Merkin Burpee,,Double Merkin Burpee Burpee with 2 merkins.
Double Shot of Jackies,,"Double Shot of Jackies Burpee Variation where after the Merkin, perform a plank Jack (first shot) and after recovery, instead of just jumping, perform a Jumping Jack or SSH (2nd shot)"
DoubleApplesauce,,DoubleApplesauce A two-column Indian run.
Dr. W,,"Dr. W Dr. W is a sufferable 8-count ab exercise that combines Dolly, Rosalita, and the W; often within the 6MOM. Always a #CrowdPleaser. 1 is legs apart like a Low Dolly, 2 is legs together, 3 is raise the legs to Rosalita position (45-60 degrees-ish), 4 is spread ï¿½em, 5 is The W (hands together and stretching forward between your legs), 6 is the return to your back (legs still up), 7 is legs together, 8 is legs down. 5-8 Dr. W's is a good start to get the pax coordinated with the counting. 10 is a magic # that most build up to 15 is just dumb and torture #FetalPositionMaker Qtip ï¿½ We always emphasize that the W is on the 5 count. Kinda breaks down the motions and gives a 2nd starting point."
Dragon Walk,,Dragon Walk Like the Peter Parker except you are moving forward. Resembles a Komodo Dragon walking.
Dragon Wing,,Dragon Wing A modified Bat Wings where cinder are used in each hand
Drill Instructors,,"Drill Instructors On the Q's command, rapidly transition through any combination of standing (""On your feet!""), holding 6"" (""On your six!""), high plank (""On your face!""), and Merkins (""Down/Up""). Speed, order, and duration are completely at the Q's discretion, with the goal being to test the pax's reaction time and/or keep them in an uncomfortable position (esp. 6 inches or down part of Merkin). Inspired by a certain Marine at the Spring 2016 F3 Mud Run and best executed with a gruff, barking orders style. Example: ""On your face! On your six! On your face! On your six! On your feet! On your face! Down! Up! Down! Up! Down! [painful delay] Up!"""
Dry Dock Crabs,,Dry Dock Crabs A wrestling drill aka hip heists that needed a cool F3 name. Start in Carolina Dry Dock position and move right foot to approx. location of left hand while moving left hand to former position of right foot then back to dry dock and then other side all while keeping 6 off the ground. Done in cadence.
Dubya,,"Dubya Grab the bar for a pull up variation. The first 'up' is toward your left hand, the second 'up' is a regular pull up to the middle, the third 'up' is toward your right hand. Your chin traces a Dubya (W), aye?"
Duck and Weave,,"Duck and Weave Pax line up as if doing an Indian Run, except this offers more pain. The Pax start duck walking and the six runs to the front by weaving in between each Pax member. Then he joins the rest of the Pax duck walking until everyone has weaved to the front at least once or until the Q's legs burn out."
Duck Jousting,,"Duck Jousting Friendly combat between PAX in the duck walk position. Arms must remain crossing your chest. Bumping, nudging, rubbing and checking are highly encouraged. There is no biting, scratching, standing up or falling over or you are out. Kicking is actually allowed if you are possibly able to remain in the duck walk position on one leg. Last man to remain on his feet in the duck position is declared the winner. Best performed as the final exercise of 6MOM."
Duck Walk,,"Duck Walk The duck walk is an exercise done by squatting and walking slowly, while relying on your hips, quadriceps, hamstrings and gluteal muscles for support."
Dumbees,,"Dumbees Evil distant cousin of the classic burpee. Hold a 15 pound dumbbell in each hand while performing the classic burpee. The dumbells serve as bars for deeper merkins at the bottom and the added weight is a shoulder burner at the top. Any more than 15lbs is cruel and unusual punishment. 10 OYO should cause all mumblechatter to cease immediately due to oxygen depravity. If no dumbbells are available, hand sized rocks work well & add a stability factor."
Dutch Skate,,"Dutch Skate Half way squat with hands behind the back. Jump forward- right (45 degrees) landing on right foot, pull left foot behind right lower leg, Lh shin kisses rh calf. Left foot should not touch the ground. Jump forward-left (45 degrees), land on left foot, pull rh foot behind lh such that chin hits calf. <br /> Repeat in cadence, best done in single file. Q provides cadence.<br /> Should look like speed skaters on land."
Dwight Howard,Cardio,"Dwight Howard Standing facing a wall, jump from rest with both hands and touch as high up on the wall as possible (like Dwight Howard slapping a sticker on the backboard while dunking). AMRAP while your partner circles a building. Normally part of a larger set (people's chair, rocky balboas, donkey kicks, etc.) of partner work."
Dying Cockroach,Core,"Dying Cockroach 4-count ab exercise done lying down that involves touching hand to opposite leg, back down, then other hand to opposite leg. Form can vary wildly."
E2K,Core,"E2K On your six. Right ankle over the left knee, bring your left elbow to your right knee. Switch. Aka the oblique crunch if you take the right foot and put that on the ground."
Eagle Wings,Arms,Eagle Wings A modified Bat Wings where bricks are used in each hand
Earl Fonda,Legs|Core|Full Body,"A combination of the sleeping hillbilly and a jane fonda. You perform the exercise on a 4 count. First count is the upward motion of the jane fonda, second count is the downward motion, but you suspend your leg without touching the ground. The third count is bringing your leg up towards your chest and fourth count is extending the leg. Your leg will not touch the ground until the desired amount of reps are completed."
El Capitan,,"El Capitan El Capitan is a deep walking lunge going up a small hill. The lunge has the back leg straight out behind you, your front leg at 90 degrees or less - both hands go fully on the ground in merkin position on the inside of your front leg. Return to a standing position and repeat the lunge until you reach the top of the hill. Named El Capitan because it looks like you are scaling a sheer rock face."
Elevens,,"Elevens also written as 11s. An exercise in which you start with 1 rep of one exercise and 10 reps of another exercise, then add one additional rep to the first exercise and subtract one rep from the second. The sum must always add up to 11. Example: Elevens along the oak trees at #45MinutesofMary with Burpees and Merkins starts you with 1 Burpee and 10 Merkins at the first tree, then 2 Burpees and 9 Merkins at the second tree, then 3 and 8 etc. until you do 10 Burpees and 1 Merkin at the last tree."
Elf on the Shelf,,Elf on the Shelf This exercise is done with one concrete block. Start with the block on the ground beside you. Grab the block and lift it from the ground across your body reaching up as high as you can. Like putting it on a shelf. After a set from right to left then do left to right. Named after some Elf on the Shelf mumble chatter at a workout around Christmas time.
Elizabeth Warren,Legs|Cardio|Routine,"Bernie Sanders Indian Run: while PAX are lunge walking backwards in a line, the PAX in front will Bernie backwards to the back of the line. Upon getting to the back of the line, will resume backwards lunge walk, yell go so the next PAX can proceed with his Bernie."
Elvis Meets Forrest,,"Elvis Meets Forrest Referencing the meeting between ""Elvis"" and ""Forrest Gump"" - alternative to lunges over a distance. Do your best impression of Forrest walking with leg braces and teaching Elvis his patented moves."
Empty Wheelbarrow,,Empty Wheelbarrow An belly up plank walk with someone holding your feet. Essentially a crabwalk with partner holding feet.
Energizer Bunnies,Coupon|Full Body,"Perform a murder bunny, then execute 3 Groiners (Starting from a pushup/merkin position, thrust your feet forward, landing outside of each hand. Thrust backwards to original position) after each ""Hop."" Distance set by Q."
Escalator,,"Escalator 10 jump-ups, 20 burpees, 30 merkins, 40 squats, 50 lunge-walks. Mix and match as long as reps go up by 10. Sometimes followed by a lap around a parking lot."
Everest,,"Everest Find a set of stairs or a hill. Lunge up one step, perform 1 squat, lunge up with other leg, perform 1 squat, repeato to top. Works best with many steps or sizable hill."
F3 Baseball,,"F3 Baseball Performed on a baseball diamond or using cones as bases. Pax are divided into four teams. Each team starts at its own base. Teams must complete a cumulative number of reps of different exercise at each base, for example, 120 team merkins at first, 120 team squats at second, 120 team crab cakes at 3rd, 120 team burpees at home, and then move using different modes of transportation to the next base. Each time a team passes the base it started on, it gets a point. Team with the most points after 20 minutes or some other set time wins."
Failure to Launch,,"Failure to Launch Hold Al Gore while Q counts down from 10. At Lift-Off, explode up into a tuck jump, immediately returning to Al Gore upon landing. Repeat until unable to leave the ground (usually around rep 8 or 9, depending on count speed)"
Fairy Jack,,"Fairy Jack Very quick Side Straddle Hop, where your feet only hit the ground in the middle. Usually done OYO."
Febreze,,"Febreze On your six, do 2 Big Boy Situps. Remain upright after last BB and lift feet up 6"". Do 10 Air Presses. Back down for 4 BB followed by 20 Air Presses with legs held 6"". Repeat using increments of 2:10 ratio. (2:10, 4:20, 6:30, 8:40, 10:50, etc...) (Called ""The Febreze"" because PAX named Febreze always increases the difficulty of a workout and he was the one who decided to hold his feet up 6"" during the Air Presses.)"
Ferkin (aka FiA Merkin),,"Ferkin (aka FiA Merkin) A deviation from the Standard American Push-Up (the Merkin) whereby a PAX, either by design or exhaustion, drops to his knees to perform a Merkin. No shame will be dealt to said PAX as he has at least chosen to keep moving in the face of extreme physical toil and certain mumblechattered mockery."
Fiddler Crab,,Fiddler Crab Perform a crab walk movement except in a sideways direction.
Field of Dreams,,"Field of Dreams Created on a baseball diamond, but can be done in a field with cones. Start out by counting off by fours. 1s start at First Base (1st cone) do AMRAP Squats until relieved. 2s at Second Base (2nd cone) do AMRAP Mercans until relieved. 3s at Third Base (3rd cone) do AMRAP LBC's until relieved. 4s at Home Plate (4th cone) will perform 15 Burpees then run to First, relieving the Pax there. Continue until all Pax have done the Burpees."
Finger-tip Merkin,,"Finger-tip Merkin Just like a Merkin or a Knerkin, except you perform these on your finger-tips. Great for grip strength and preparing for obstacle races."
Finkle Swings,,"Finkle Swings Meet the Finkle Swing, named for the infamous kicker ï¿½Ray Finkleï¿½ it is said that this was the stretch that lost him the big game. Pax swings one leg at a time back and forth to warm up those hips."
Fire Drill,,"Fire Drill PAX in a circle, chopping feet or high knees. Each PAX calls out ""Fire"" all PAX hits the ground rolls right, merkin, roll back left, another merkin, then back up chopping. Go around the circle with the ""stop, drop and roll"" until all PAX have called ""Fire""."
Flamingo Merkins,Legs|Arms|Full Body,"Bend at the waist, fingers touching your toes. Walk your hands out to a plank position while keeping one leg raised in the air. Perform a merkin, then walk your hands back, lowering your leg to the ground and touching your toes again. Stand upright and repeat the movement with the other leg for 1 rep. Rinse and repeat. Reps are determined by the Q."
Flat Tire,,"Flat Tire Partner 1 gets into wheelbarrow and takes 4 steps then does 1 derkin, takes 8 steps and does 2 derkins. Continue this 1:4 progression until each partner gets to 40:10, switching partners as needed. This gets it name because, you will look like a wheelbarrow with a flat tire."
Flip Flops,,"Flip Flops In basic terms, the PAX will flip a large tire, then drop down for a burpee. If solo, he will rinse and repeat. In a team, the Flip Flop can be performed like a reverse Indian Run: Flip (flip tire), Flop (burpee), then move to the back of the line, with each man taking a turn."
Flora 1-2-3,,"Flora 1-2-3 Dora's lazy, mean stepsister. All pax partner up, and grab a coupon, preferably of the 35 lbs CMU size (concrete masonry unit). 100 Merkins - P1 does 10 with feet on coupon. P2 holds plank with feet on his coupon. Flapjack.200 LBCs - P1 does 20 LBC holding coupon high on chest. P2 holds legs 6"" off ground, and extends arms w/ coupon over chest. Flapjack. 300 Goblet Squats - P1 does 25 goblet squats. P2 lowers to bottom of goblet squat w/ coupon, and holds. Flapjack."
Floyd Mayweather - Plank Punch,,"Floyd Mayweather - Plank Punch From a basic plank position, raise one hand off the ground and punch across, behind and under the opposite arm, keeping the core stabilized. Complete in cadence and switch to other arm. Add a small dumbbell or brick for an extra challenge. Can also be completed from a Knerkin Plank position."
Floyd Plank,,"Floyd Plank When smoked, lie on back with both hands behind head and one ankle up on one knee. Loudly complain of exhaustion for optimal results. Named in honor of F3 Churham legend Floyd."
Flutter kicks,,"Flutter kicks Ab exercise done laying on your back. Legs off the ground, alternate kicking legs as if you're swimming. Usually done in cadence."
Flying Nun,,Flying Nun Lunge walk with little baby arm circles
Flying Squirrel,,Flying Squirrel Burpee done where the move from standing to pushup skips the raised push-up position. Usually done with arms and legs spread out like name of exercise.
Flying sun gods sobriety style (AKA Nancy Kerrigans),,"Flying sun gods sobriety style (AKA Nancy Kerrigans) Flying sun gods sobriety style (AKA Nancy Kerrigans). Lean torso forward, raise one leg out to the back, reach arms out to side and do small arm circles. Count in cadence just like sun gods. Forward on one leg, then switch legs and reverse."
Forest to the Sea,,"Forest to the Sea Conducted on any field, parking lot or basketball court that has a halfway point. You bear crawl to the middle and crab walk the rest. The bear represents your forest and the the crab is the sea. You can throw some burpees in at the half way point to help countdown (5,4,3,2,1) and to make the exercise harder. The length is up to the Q."
Four Corners Escalator,,"Four Corners Escalator Combination of Four Corners and an Escalator. Four exercises. 10 reps, run to next corner, 10 reps+20 reps next exercise, run, 10, 20, 30 reps, run, 10, 20, 30, 40 reps, run to start. Can go back down escalator: 40, 30, 20, 10, run, 30, 20, 10, run, 20, 10, run, 10."
Foxhole,Arms|Mary,"Foxhole 2 for 1 value exercise! Its a WWI, roll to the side into a Merken. Repeato."
FrankenSteinl,,"FrankenSteinl The Steinl, only the routine is performed while wearing a Ruck sack or vest."
Frankensteins,,"Frankensteins Stand with Arms straight out. As you walk forward, raise each leg as high as you can toward corresponding arm. Knees slightly bent. Looks like Frankenstein."
Freddie Mercury,Core,Aka the bicycle sit-up. Alternate extending legs and arms in a bicycling motion during the sit-up.
